epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,519.503,1.10691,1.11825,1.01265,0.8121,0.63544,0.93065,0.7129,1.04933,2.04204,0.97116,0.000151218,0.000151218,0.000151218
91,525.245,1.12967,1.327,1.05039,0.8121,0.63544,0.93065,0.7129,1.04933,2.04204,0.97116,0.000140185,0.000140185,0.000140185
92,531.045,1.16752,1.27099,1.03027,0.81804,0.67224,0.943,0.7192,1.04621,1.93224,0.96263,0.000128869,0.000128869,0.000128869
93,536.717,1.17701,1.27677,1.02236,0.81804,0.67224,0.943,0.7192,1.04621,1.93224,0.96263,0.000117269,0.000117269,0.000117269
94,542.457,0.99089,1.2045,1.00041,0.81804,0.67224,0.943,0.7192,1.04621,1.93224,0.96263,0.000105387,0.000105387,0.000105387
95,548.228,1.11633,1.33556,1.03763,0.81804,0.67224,0.943,0.7192,1.04621,1.93224,0.96263,9.32222e-05,9.32222e-05,9.32222e-05
96,553.992,1.16242,1.30364,1.00436,0.83113,0.77625,0.94791,0.73661,1.05724,1.83459,0.96429,8.07742e-05,8.07742e-05,8.07742e-05
97,559.722,1.14021,1.25266,1.00067,0.83113,0.77625,0.94791,0.73661,1.05724,1.83459,0.96429,6.80433e-05,6.80433e-05,6.80433e-05
98,565.42,1.09086,1.27965,1.04709,0.83113,0.77625,0.94791,0.73661,1.05724,1.83459,0.96429,5.50294e-05,5.50294e-05,5.50294e-05
99,571.115,1.26341,1.35215,1.05894,0.83113,0.77625,0.94791,0.73661,1.05724,1.83459,0.96429,4.17325e-05,4.17325e-05,4.17325e-05
100,576.949,1.11279,1.35763,1.00366,0.83652,0.83034,0.95277,0.73848,1.05609,1.73047,0.96345,2.81527e-05,2.81527e-05,2.81527e-05
